Código do Município;Município;Estado;Ano de Referência;Tipo de serviço;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;POP_URB - População urbana do município do ano de referência (Fonte: IBGE):;AG001 - População total atendida com abastecimento de água;AG026 - População urbana atendida com abastecimento de água;ES001 - População total atendida com esgotamento sanitário
120001;Acrelândia;AC;2015;Água         ;13.869;6.544;4.108;4.108;
120005;Assis Brasil;AC;2015;Água         ;6.738;4.106;4.411;4.106;
120010;Brasiléia;AC;2015;Esgoto       ;23.849;15.890;;;5.800
120010;Brasiléia;AC;2015;Água         ;23.849;15.890;12.950;12.950;
120013;Bujari;AC;2015;Água         ;9.339;4.071;3.988;3.988;
120017;Capixaba;AC;2015;Água         ;10.498;4.688;3.837;3.837;
120020;Cruzeiro do Sul;AC;2015;Água         ;81.519;57.449;40.157;40.157;
120025;Epitaciolândia;AC;2015;Água         ;16.731;11.765;10.314;10.314;
120030;Feijó;AC;2015;Água         ;32.385;16.622;5.564;5.564;
120032;Jordão;AC;2015;Água         ;7.509;2.594;3.086;2.594;
120033;Mâncio Lima;AC;2015;Água         ;17.173;9.882;10.585;9.882;
120034;Manoel Urbano;AC;2015;Água         ;8.641;5.714;5.726;5.714;
120035;Marechal Thaumaturgo;AC;2015;Água         ;16.895;4.713;3.041;3.041;
120038;Plácido de Castro;AC;2015;Água         ;18.159;10.955;7.501;7.501;
120038;Plácido de Castro;AC;2015;Esgoto       ;18.159;10.955;;;11.020
120080;Porto Acre;AC;2015;Água         ;16.757;2.232;3.582;2.232;
120039;Porto Walter;AC;2015;Água         ;10.759;3.896;3.939;3.896;
120040;Rio Branco;AC;2015;Água e Esgoto;370.550;340.233;202.308;202.308;83.548
120042;Rodrigues Alves;AC;2015;Água         ;16.974;5.090;5.368;5.090;
120043;Santa Rosa do Purus;AC;2015;Água         ;5.809;2.343;2.495;2.343;
120045;Senador Guiomard;AC;2015;Água         ;21.182;13.334;7.661;7.661;
120050;Sena Madureira;AC;2015;Água         ;41.750;27.569;14.618;14.618;
120060;Tarauacá;AC;2015;Água         ;38.819;21.107;13.329;13.329;
120070;Xapuri;AC;2015;Água         ;17.608;11.304;8.854;8.854;
270010;Água Branca;AL;2015;Água         ;20.434;5.379;13.178;5.230;
270020;Anadia;AL;2015;Água         ;17.847;9.166;8.347;8.204;
270030;Arapiraca;AL;2015;Água         ;231.053;195.937;221.212;194.316;
270030;Arapiraca;AL;2015;Esgoto       ;231.053;195.937;;;70.000
270060;Barra de São Miguel;AL;2015;Água         ;8.266;7.117;7.031;7.031;
270070;Batalha;AL;2015;Água e Esgoto;18.496;13.043;13.757;11.581;4.945
270090;Belo Monte;AL;2015;Água         ;6.775;1.129;1.854;1.095;
270100;Boca da Mata;AL;2015;Água         ;27.399;18.549;18.549;18.549;
270120;Cacimbinhas;AL;2015;Água         ;10.818;5.732;1.935;1.905;
270130;Cajueiro;AL;2015;Água e Esgoto;21.355;17.248;17.230;17.230;2.032
270140;Campo Alegre;AL;2015;Água         ;56.430;24.609;5.205;5.205;
270150;Campo Grande;AL;2015;Água         ;9.664;4.478;8.661;4.376;
270160;Canapi;AL;2015;Água         ;17.976;5.771;5.634;5.526;
270170;Capela;AL;2015;Água e Esgoto;17.507;12.969;10.023;10.023;587
270180;Carneiros;AL;2015;Água         ;8.969;5.087;5.674;4.993;
270200;Coité do Nóia;AL;2015;Água         ;10.992;3.760;3.417;3.020;
270210;Colônia Leopoldina;AL;2015;Água         ;21.636;16.556;12.433;12.433;
270220;Coqueiro Seco;AL;2015;Água         ;5.870;5.283;3.757;3.757;
270230;Coruripe;AL;2015;Água e Esgoto;56.631;50.018;56.631;49.611;8.231
270235;Craíbas;AL;2015;Água         ;24.288;7.861;15.009;7.674;
270240;Delmiro Gouveia;AL;2015;Esgoto       ;51.997;37.681;;;44.000
270240;Delmiro Gouveia;AL;2015;Água         ;51.997;37.681;50.940;37.190;
270250;Dois Riachos;AL;2015;Água         ;11.224;5.246;3.829;3.829;
270255;Estrela de Alagoas;AL;2015;Água         ;18.306;4.275;6.313;3.834;
270260;Feira Grande;AL;2015;Água         ;22.432;3.599;8.066;3.478;
270280;Flexeiras;AL;2015;Água         ;12.917;8.402;6.852;6.852;
270290;Girau do Ponciano;AL;2015;Água         ;40.519;12.508;16.387;12.405;
270300;Ibateguara;AL;2015;Água         ;15.803;9.738;6.244;6.244;
270310;Igaci;AL;2015;Água         ;26.041;6.393;13.758;6.076;
270320;Igreja Nova;AL;2015;Água         ;24.575;5.038;6.528;4.856;
270330;Inhapi;AL;2015;Água         ;18.621;6.970;8.346;6.686;
270340;Jacaré dos Homens;AL;2015;Água         ;5.429;3.041;3.622;2.945;
270350;Jacuípe;AL;2015;Água e Esgoto;7.162;4.458;4.384;4.384;926
270360;Japaratinga;AL;2015;Água         ;8.350;3.562;3.484;3.484;
270370;Jaramataia;AL;2015;Água         ;5.695;2.985;3.356;2.646;
270380;Joaquim Gomes;AL;2015;Água         ;24.061;15.430;14.012;14.012;
270390;Jundiá;AL;2015;Água         ;4.269;2.872;2.801;2.801;
270400;Junqueiro;AL;2015;Água         ;25.084;8.212;7.888;7.877;
270410;Lagoa da Canoa;AL;2015;Água         ;18.343;9.212;13.187;8.576;
270420;Limoeiro de Anadia;AL;2015;Água         ;28.621;2.382;6.495;2.366;
270430;Maceió;AL;2015;Água e Esgoto;1.013.773;1.013.100;979.479;979.479;354.519
270440;Major Isidoro;AL;2015;Água         ;20.047;9.872;9.790;7.934;
270450;Maragogi;AL;2015;Água e Esgoto;32.171;20.842;15.792;15.792;7.564
270460;Maravilha;AL;2015;Água         ;9.770;4.880;5.690;4.824;
270470;Marechal Deodoro;AL;2015;Água e Esgoto;51.132;48.257;50.792;45.712;13.884
270480;Maribondo;AL;2015;Água         ;13.665;10.012;8.610;8.610;
270490;Mar Vermelho;AL;2015;Água         ;3.622;1.625;1.587;1.587;
270500;Mata Grande;AL;2015;Água         ;25.590;5.879;9.833;5.528;
270510;Matriz de Camaragibe;AL;2015;Água         ;25.008;23.232;10.556;10.556;
270520;Messias;AL;2015;Água         ;17.576;15.986;12.373;12.373;
270530;Minador do Negrão;AL;2015;Água         ;5.425;2.316;1.804;1.694;
270540;Monteirópolis;AL;2015;Água         ;7.241;2.626;4.111;2.414;
270550;Murici;AL;2015;Água         ;28.335;23.453;13.282;13.282;
270560;Novo Lino;AL;2015;Água         ;12.643;7.682;5.512;5.512;
270570;Olho D ÁGUA das Flores;AL;2015;Água         ;21.641;14.866;18.226;13.827;
270580;Olho D ÁGUA do Casado;AL;2015;Água         ;9.298;4.410;5.656;4.277;
270590;Olho D ÁGUA Grande;AL;2015;Água         ;5.178;1.257;2.032;1.001;
270600;Olivença;AL;2015;Água         ;11.688;3.319;5.429;3.067;
270610;Ouro Branco;AL;2015;Água         ;11.537;7.274;5.058;4.865;
270620;Palestina;AL;2015;Água         ;5.004;3.169;3.922;3.061;
270630;Palmeira dos Índios;AL;2015;Água e Esgoto;73.878;54.184;64.202;52.306;2.369
270640;Pão de Açúcar;AL;2015;Água         ;24.878;11.252;434;417;
270640;Pão de Açúcar;AL;2015;Água         ;24.878;11.252;24.444;10.513;
270642;Pariconha;AL;2015;Água         ;10.601;2.888;7.580;2.731;
270644;Paripueira;AL;2015;Água         ;12.887;11.413;10.299;10.299;
270650;Passo de Camaragibe;AL;2015;Água         ;15.419;7.549;4.973;4.973;
270660;Paulo Jacinto;AL;2015;Água e Esgoto;7.682;5.077;5.069;5.069;1.104
270670;Penedo;AL;2015;Água         ;64.074;47.776;61.818;46.000;
270680;Piaçabuçu;AL;2015;Água         ;18.011;10.926;11.038;10.570;
270690;Pilar;AL;2015;Água e Esgoto;35.295;33.701;20.996;20.196;4.000
270690;Pilar;AL;2015;Água         ;35.295;33.701;13.445;13.445;
270700;Pindoba;AL;2015;Água         ;2.956;1.688;1.541;1.541;
270710;Piranhas;AL;2015;Água e Esgoto;24.950;14.279;22.243;14.180;7.316
270720;Poço das Trincheiras;AL;2015;Água         ;14.493;2.134;3.295;2.091;
270740;Porto de Pedras;AL;2015;Água         ;8.151;4.640;3.321;3.321;
270760;Quebrangulo;AL;2015;Água e Esgoto;11.592;6.537;6.555;6.336;958
270770;Rio Largo;AL;2015;Água         ;75.645;61.800;48.681;48.681;
270790;Santa Luzia do Norte;AL;2015;Água         ;7.325;6.561;5.381;5.381;
270800;Santana do Ipanema;AL;2015;Água e Esgoto;47.820;28.932;34.652;27.155;2.144
