;municipio;getulio_vargas;cristiano_machado;eduardo_gomes;joao_mangabeira;brancos_presidente;nulos_presidente;votantes;eleitores;pgetulio;pcristiano;peduardo;pjoao;pnulo;pbrancos;Urban_Tax_1950;Pop_Resid_1950;Pop.Urban_1950;PIB_Capt_1950;Pib_Mun_1949;Pib_Ind_1949;Pib_Agro_1949;Pib_Ser_1949;Alistados1949/Pop-1950
3100203;Abaeté;218;5151;3416;1;180;36;9002;12830;0,024216841;0,572206176;0,379471229;0,000111086;0,003999111;0,019995557;0,055316557;26267;1453;9,818657125;14266,5088;546,60464;9982,368088;3737,536075;0,325236989
3100302;Abre Campo;1395;3772;1971;0;258;168;7564;11082;0,18442623;0,498677948;0,260576415;0;0,022210471;0,034108937;0,160498285;22156;3556;5,463056008;19426,62716;355,569878;16534,64392;2536,413371;0,423271349
3101102;Aimorés;2970;748;3566;0;148;221;7653;11945;0,388083105;0,097739449;0,465961061;0;0,028877564;0,019338821;0,144805791;37022;5361;8,140899962;43643,3647;6352,004717;19712,16252;17579,19745;0,472070661
3101201;Airuóca;976;2577;2468;0;92;162;6275;7141;0,155537849;0,410677291;0,393306773;0;0,025816733;0,014661355;0,168166367;10002;1682;4,762217479;8010,0498;916,4131339;4461,389037;2632,247629;0,599080184
3101508;Alem Paraíba;4739;2524;2393;1;7;33;9697;11002;0,488707848;0,260286687;0,246777354;0,000103125;0,003403114;0,000721873;0,408111677;26505;10817;4,152649079;44919,20509;17774,93425;7076,57715;20067,69369;0,411809093
3101607;Alfenas;2153;1839;2130;0;146;57;6325;9184;0,340395257;0,290750988;0,336758893;0;0,009011858;0,023083004;0,462354189;19803;9156;2,947025809;26982,96831;2394,065041;10795,15902;13793,74425;0,545725395
3101706;Almenara;1581;7873;4004;0;452;235;14145;11402;0,111770944;0,556592435;0,283068222;0;0,016613644;0,031954754;0,123698173;30534;3777;3,81752059;14418,77527;376,1367675;9723,707926;4318,930575;0,365952708
3102100;Alto Rio Doce;777;2559;3274;0;104;120;6834;10496;0,113696225;0,374451273;0,479075212;0;0,017559263;0,015218028;0,113490683;20125;2284;4,467439777;10203,63245;608,7008256;8566,310585;1028,621039;0,446062112
3102308;Alvinópolis;1819;1372;1820;0;112;173;5296;6786;0,343466767;0,259063444;0,343655589;0;0,032666163;0,021148036;0,255744256;15015;3840;2,633923734;10114,26714;2618,718757;5118,858775;2376,689607;0,342191142
3102605;Andradas;1234;841;2207;0;137;35;4454;5877;0,277054333;0,188819039;0,495509654;0;0,007858105;0,030758868;0,169015692;17525;2962;9,369687586;27753,01463;4354,247816;15406,18967;7992,577145;0,244793153
3102803;Andrelândia;1636;2790;3116;0;238;119;7899;10918;0,207114825;0,353209267;0,394480314;0;0,015065198;0,030130396;0,220544959;18350;4047;3,685439849;14914,97507;1126,0372;7007,066855;6781,871015;0,448555858
